gender,age,height,tattoos,sword.type,eyepatch,beard.length
female,32,176.72,17,cutlass,1,1
female,32,172.88,9,cutlass,0,3
male,32,180.37,11,cutlass,1,24
female,32,164.63,8,sabre,1,1
female,32,183.21,7,banana,1,1
male,32,166.83,14,cutlass,0,37
female,32,153.19,8,cutlass,0,0
male,32,187.62,14,cutlass,1,19
female,32,171.1,10,cutlass,1,1
female,32,176.51,7,scimitar,1,0
male,32,168.98,17,banana,0,33
female,32,168.64,7,cutlass,0,1
female,32,154.13,9,cutlass,0,0
male,32,174.57,7,cutlass,0,16
male,32,180.97,8,cutlass,1,19
female,32,156.42,6,cutlass,1,1
male,32,167.82,11,cutlass,0,18
female,32,173.38,6,cutlass,1,0
female,32,169.65,10,cutlass,1,0
female,32,159.13,8,cutlass,1,1
female,32,156.46,11,sabre,0,1
female,32,162.11,13,cutlass,0,0
female,32,155.31,5,banana,1,0
male,32,165.65,5,cutlass,1,11
male,32,160.14,11,cutlass,1,18
male,32,176.72,13,cutlass,1,26
female,32,146.13,9,cutlass,1,1
male,32,170.21,11,cutlass,1,16
female,32,168.1,11,cutlass,1,0
male,32,177.98,9,cutlass,1,19
female,32,166.83,8,cutlass,0,0
male,32,190.91,14,cutlass,0,24
female,32,161.1,11,cutlass,1,1
female,32,160.55,9,cutlass,0,0
female,33,160.95,9,cutlass,1,2
female,33,166,5,cutlass,0,0
female,33,178.94,10,cutlass,1,0
female,33,143.11,11,cutlass,1,1
female,33,166.17,15,cutlass,0,1
female,33,169.4,10,cutlass,1,0
female,33,195.78,13,cutlass,1,0
female,33,166.42,7,cutlass,1,1
female,33,164.32,10,cutlass,1,0
male,33,177.82,9,cutlass,1,14
female,33,154.1,10,cutlass,1,0
female,33,165.84,10,cutlass,1,0
female,33,155.71,15,cutlass,1,0
female,33,156.59,9,cutlass,1,1
female,33,179.23,10,cutlass,0,0
male,33,167.16,10,sabre,1,16
female,33,158.4,3,banana,1,1
female,33,162.75,12,sabre,1,0
female,33,181.77,9,cutlass,0,0
female,33,160.21,3,sabre,1,1
female,33,172.98,7,cutlass,1,0
female,33,143.67,4,banana,0,0
female,33,148.47,12,cutlass,1,0
female,33,160.26,9,cutlass,0,0
female,33,173.01,4,cutlass,1,1
male,33,177.04,8,cutlass,1,27
female,33,162.86,12,cutlass,1,0
female,33,173.92,14,cutlass,1,1
female,33,161.15,13,cutlass,1,1
female,33,146.31,11,cutlass,1,0
female,33,165.06,9,cutlass,1,1
female,33,155.72,5,cutlass,1,0
female,33,159.28,8,cutlass,1,0
female,33,179.04,13,cutlass,1,1
female,33,163.2,9,cutlass,1,0
female,33,164.46,11,cutlass,1,0
female,33,148.03,12,cutlass,1,1
female,33,158.37,10,cutlass,1,0
female,33,153.77,11,cutlass,1,0
female,33,155.14,8,cutlass,1,0
female,33,161.61,12,cutlass,1,2
female,34,179.06,5,cutlass,1,2
female,34,155.54,6,cutlass,1,0
female,34,169.06,6,banana,1,0
male,34,186.93,4,cutlass,1,15
female,34,167.86,6,cutlass,1,1
female,34,159.16,10,cutlass,1,0
male,34,157.83,19,cutlass,1,35
female,34,157.38,11,cutlass,1,1
male,34,176.75,11,cutlass,1,26
female,34,191.52,6,cutlass,1,0
male,34,194.74,1,banana,1,11
female,34,188.44,7,cutlass,1,1
female,34,171.51,8,cutlass,1,1
female,34,157.56,11,cutlass,1,0
male,34,189.02,12,cutlass,1,17
female,34,168.62,10,cutlass,1,0
male,34,173.02,13,cutlass,1,16
male,34,169.52,8,cutlass,1,19
female,34,153.23,8,cutlass,1,0
female,34,164.41,10,cutlass,1,0
male,34,184.16,10,cutlass,1,25
male,34,187.88,8,cutlass,1,17
female,34,158.58,10,cutlass,1,1
female,34,159.83,9,cutlass,1,0
female,34,177.88,12,cutlass,1,0
female,34,153.29,10,cutlass,1,0
male,34,163.46,12,cutlass,1,18
female,34,166.6,11,cutlass,1,1
female,34,147.01,5,scimitar,1,0
female,34,155.93,11,cutlass,1,2
female,34,152.17,13,cutlass,1,0
female,34,162.37,8,cutlass,1,0
female,34,145.48,13,cutlass,1,1
male,34,172.69,9,cutlass,1,22
male,34,189.43,2,sabre,1,21
male,34,172.45,9,cutlass,1,18
female,34,157.2,13,cutlass,1,0
female,35,173.07,7,cutlass,1,0
male,35,187.48,10,sabre,1,17
female,35,164.41,5,scimitar,1,0
female,35,152.77,5,banana,1,0
female,35,155.69,9,cutlass,1,1
male,35,171.74,12,cutlass,1,21
female,35,178.5,15,cutlass,1,1
male,35,168.78,9,cutlass,1,17
female,35,161.31,8,cutlass,1,0
female,35,159.88,11,cutlass,1,0
female,35,170.7,4,cutlass,1,0
male,35,196.28,5,cutlass,1,15
female,35,173.75,14,cutlass,1,0
female,35,168.06,8,cutlass,1,0
female,35,158.68,10,cutlass,1,0
female,35,162.47,11,cutlass,1,0
female,35,153.05,16,scimitar,1,0
female,35,159.3,12,cutlass,1,0
female,35,149.11,2,banana,1,1
female,35,170.44,11,cutlass,1,0
female,35,143.86,8,cutlass,1,0
female,35,160.42,3,scimitar,1,0
male,35,189.81,16,cutlass,1,21
female,35,167.51,9,cutlass,1,0
female,35,160.58,6,cutlass,1,0
male,35,174.08,10,cutlass,1,14
female,35,174.94,16,cutlass,1,0
male,35,181.24,12,cutlass,1,12
female,35,152.16,8,cutlass,1,1
female,36,153.68,9,cutlass,1,0
female,36,160.57,12,cutlass,1,1
male,36,171.48,9,cutlass,1,21
female,36,156.18,13,cutlass,1,1
female,36,147.33,2,sabre,1,0
female,36,167.23,11,sabre,1,0
female,36,157.46,14,cutlass,1,0
female,36,144.34,7,cutlass,1,1
female,36,137.43,12,cutlass,1,1
female,36,178.84,6,cutlass,1,3
male,36,192.82,11,sabre,1,23
female,36,161.84,8,banana,1,1
male,36,165.9,9,cutlass,1,24
female,36,174.52,6,cutlass,1,1
female,36,167.84,6,cutlass,1,0
female,36,167.8,11,cutlass,1,1
female,36,159.42,10,cutlass,1,0
female,36,164.93,16,cutlass,1,0
female,36,172.95,5,banana,1,0
female,36,170.98,11,cutlass,1,0
female,36,172.51,6,cutlass,1,0
female,36,168.91,9,cutlass,1,1
male,36,175.74,9,cutlass,1,18
female,37,147.82,14,cutlass,1,1
male,37,175.59,10,cutlass,1,20
female,37,168.14,12,cutlass,1,0
female,37,174.85,7,cutlass,1,1
female,37,169.36,13,cutlass,1,1
male,37,180.6,12,cutlass,1,12
female,37,173.09,8,cutlass,1,0
female,37,156,9,cutlass,1,1
female,37,177.33,8,cutlass,1,0
female,37,153.95,11,cutlass,1,0
female,38,160.91,12,cutlass,1,1
female,38,161.52,9,cutlass,1,1
female,38,161.37,7,cutlass,1,0
female,38,165.55,11,cutlass,1,0
male,38,172.25,10,cutlass,1,16
male,38,183.5,14,cutlass,1,18
female,38,164.45,6,scimitar,1,1
female,38,151.56,10,cutlass,1,0
female,38,175.99,11,cutlass,1,0
female,38,160.88,8,cutlass,1,0
female,39,161.16,12,cutlass,0,1
female,39,180.84,11,cutlass,1,0
female,39,147.8,14,cutlass,1,0
female,39,162.56,8,cutlass,0,1
female,39,173.28,3,cutlass,1,0
male,39,158.44,9,scimitar,1,20
female,39,166.94,7,scimitar,0,0
female,39,166.2,11,scimitar,1,0
female,39,166.38,6,cutlass,1,1
female,39,149.17,8,cutlass,1,1
female,39,168.21,7,cutlass,0,0
male,39,157.72,8,scimitar,0,18
female,39,192.84,12,cutlass,1,1
female,39,159.51,2,banana,0,0
female,39,150.61,10,cutlass,1,0
female,40,165.1,8,scimitar,1,1
female,40,173.33,4,cutlass,1,1
female,40,162.52,8,cutlass,0,1
female,40,170.56,9,banana,1,1
female,41,157.85,9,cutlass,1,0
female,41,156.54,10,cutlass,0,1
female,41,165.1,18,cutlass,0,0
female,41,172.17,15,cutlass,1,0
female,41,169.78,15,cutlass,0,0
female,43,169.37,6,sabre,1,0
female,43,156.35,9,cutlass,0,0
female,44,159.67,14,cutlass,1,0
female,45,167.65,14,cutlass,1,0
female,45,148.2,11,cutlass,1,1
female,46,163.56,10,cutlass,0,0
